dev:    size   erasesize  name
mtd0: 20000000 00040000 "NAND 512MiB 3,3V 8-bit"
mtd1: 00200000 00040000 "boot_1"
mtd2: 00200000 00040000 "part_info_1"
mtd3: 00200000 00040000 "part_info_2"
mtd4: 00080000 00040000 "mac_addr_1"
mtd5: 00080000 00040000 "mac_addr_2"
mtd6: 00100000 00040000 "key_block_1"
mtd7: 00100000 00040000 "key_block_2"
mtd8: 00500000 00040000 "kernel_1"
mtd9: 00500000 00040000 "kernel_2"
mtd10: 00300000 00040000 "initrd_1"
mtd11: 00300000 00040000 "initrd_2"
mtd12: 08000000 00040000 "rootfs_normal_1"
mtd13: 08000000 00040000 "rootfs_normal_2"
mtd14: 00100000 00040000 "rootfs_enc_it_1"
mtd15: 00100000 00040000 "rootfs_enc_it_2"
mtd16: 00080000 00040000 "upg_status"
mtd17: 00080000 00040000 "fast_init_param"
mtd18: 0d680000 00040000 "ubi0"
